Município,Classificação de % em relação a população geral,% em relação a população geral,% em relação a população geral,População,Total Doses Aplicadas D1 + Única
RIBEIRÃO BRANCO,342,70,964160138,70,964160138,16211,11504
BURITIZAL,343,70,912715995,70,912715995,4514,3201
PRESIDENTE VENCESLAU,344,70,891544350,70,891544350,39583,28061
SANTANA DE PARNAÍBA,345,70,868089472,70,868089472,142301,100846
CRISTAIS PAULISTA,346,70,830465703,70,830465703,8718,6175
MIRACATU,347,70,798757827,70,798757827,19643,13907
SÃO SIMÃO,348,70,789730257,70,789730257,15385,10891
PIEDADE,349,70,757264773,70,757264773,55542,39300
EMBAÚBA,350,70,722743977,70,722743977,2449,1732
CAMPOS DO JORDÃO,351,70,705085393,70,705085393,52405,37053
BATATAIS,352,70,692283265,70,692283265,62980,44522
GUARARAPES,353,70,688821752,70,688821752,33100,23398
ITAPORANGA,354,70,684768998,70,684768998,15173,10725
ITAPIRAPUÃ PAULISTA,355,70,665417057,70,665417057,4268,3016
IARAS,356,70,663024062,70,663024062,9517,6725
MOGI GUAÇU,357,70,602419086,70,602419086,153033,108045
FRANCA,358,70,589574067,70,589574067,355901,251229
RINÓPOLIS,359,70,565204297,70,565204297,9961,7029
SERRA AZUL,360,70,549362526,70,549362526,14981,10569
TUIUTI,361,70,531747169,70,531747169,6977,4921
FRANCO DA ROCHA,362,70,524371853,70,524371853,156492,110365
CAPÃO BONITO,363,70,497474426,70,497474426,47118,33217
CORUMBATAÍ,364,70,447834646,70,447834646,4064,2863
CÂNDIDO MOTA,365,70,436419320,70,436419320,31346,22079
ROSEIRA,366,70,419405611,70,419405611,10801,7606
UBATUBA,367,70,412963931,70,412963931,91824,64656
QUEIROZ,368,70,404624277,70,404624277,3460,2436
CACONDE,369,70,340365090,70,340365090,19009,13371
PATROCÍNIO PAULISTA,370,70,311339231,70,311339231,14807,10411
CERQUILHO,371,70,300389543,70,300389543,49802,35011
INÚBIA PAULISTA,372,70,291117193,70,291117193,4019,2825
NUPORANGA,373,70,286172773,70,286172773,7478,5256
SANTA ADÉLIA,374,70,265407108,70,265407108,15561,10934
PRAIA GRANDE,375,70,262509634,70,262509634,330845,232460
AREIAS,376,70,251540041,70,251540041,3896,2737
ITAPETININGA,377,70,249386803,70,249386803,165526,116281
BANANAL,378,70,235604476,70,235604476,10993,7721
PARAIBUNA,379,70,218474511,70,218474511,18263,12824
TAPIRAÍ,380,70,216327582,70,216327582,7766,5453
BRAÚNA,381,70,127155548,70,127155548,5741,4026
HORTOLÂNDIA,382,70,023350223,70,023350223,234259,164036
PARANAPANEMA,383,69,968129443,69,968129443,20395,14270
SALES OLIVEIRA,384,69,961660277,69,961660277,11998,8394
QUATÁ,385,69,950738916,69,950738916,14210,9940
APARECIDA,386,69,943346691,69,943346691,36185,25309
IACANGA,387,69,885309496,69,885309496,11858,8287
BURI,388,69,867267719,69,867267719,19965,13949
PARAGUAÇU PAULISTA,389,69,857438241,69,857438241,45945,32096
LEME,390,69,795679758,69,795679758,104346,72829
IGARAÇU DO TIETÊ,391,69,760394359,69,760394359,24749,17265
PEDREIRA,392,69,745991788,69,745991788,48463,33801
CAJATI,393,69,740998105,69,740998105,28494,19872
SANTA ROSA DE VITERBO,394,69,734235413,69,734235413,26753,18656
VALPARAÍSO,395,69,726344046,69,726344046,26822,18702
TEODORO SAMPAIO,396,69,677308469,69,677308469,23273,16216
SANTA BÁRBARA D'OESTE,397,69,598744791,69,598744791,194390,135293
TAMBAÚ,398,69,563533058,69,563533058,23232,16161
JACAREÍ,399,69,533506644,69,533506644,235416,163693
CONCHAL,400,69,518622007,69,518622007,28273,19655
NHANDEARA,401,69,497701050,69,497701050,11527,8011
CAMPOS NOVOS PAULISTA,402,69,421652992,69,421652992,4997,3469
PAULÍNIA,403,69,402605287,69,402605287,112003,77733
SÃO PEDRO DO TURVO,404,69,399688150,69,399688150,7696,5341
BARUERI,405,69,334830422,69,334830422,276982,192045
CANITAR,406,69,274376417,69,274376417,5292,3666
